NBL,,03.12.2021,Тасмания Джекджамперс - Брисбен,83:74 OT,"(27:19, 15:22, 14:12, 13:16, 14:5)"
,,03.12.2021,Перт - Аделаида,85:73,"(22:19, 25:24, 23:20, 15:10)"
,,04.12.2021,Мельбурн Феникс - НЗ Брейкерс,89:65,"(17:11, 27:12, 22:23, 23:19)"
,,05.12.2021,Аделаида - Иллавара,71:81,"(16:13, 19:27, 15:26, 21:15)"
,,05.12.2021,Сидней - Мельбурн,79:74,"(17:20, 22:10, 25:22, 15:22)"
,,05.12.2021,Перт - Кеарнс,90:67,"(16:21, 23:13, 31:20, 20:13)"
,,09.12.2021,Тасмания Джекджамперс - Аделаида,80:83,"(22:25, 12:17, 22:24, 24:17)"
,,10.12.2021,Мельбурн Феникс - НЗ Брейкерс,95:88,"(35:22, 13:23, 22:22, 25:21)"
,,11.12.2021,Сидней - Иллавара,84:92,"(25:24, 18:22, 17:21, 24:25)"
,,11.12.2021,Кеарнс - Тасмания Джекджамперс,69:62,"(22:21, 6:13, 19:6, 22:22)"
,,12.12.2021,Мельбурн - Мельбурн Феникс,86:94,"(12:27, 25:21, 32:22, 17:24)"
,,12.12.2021,Аделаида - НЗ Брейкерс,98:85,"(15:28, 27:31, 27:12, 29:14)"
,,12.12.2021,Перт - Брисбен,94:97 OT,"(22:17, 17:26, 18:15, 19:18, 18:21)"
,,16.12.2021,Мельбурн - Сидней,89:47,"(34:5, 21:16, 18:15, 16:11)"
,,17.12.2021,Иллавара - НЗ Брейкерс,97:96 OT,"(14:27, 25:14, 18:19, 20:17, 20:19)"
,,17.12.2021,Перт - Брисбен,83:70,"(14:19, 22:17, 25:19, 22:15)"
,,18.12.2021,Сидней - Мельбурн Феникс,84:73,"(29:14, 14:17, 14:15, 27:27)"
,,18.12.2021,Кеарнс - Аделаида,93:67,"(31:20, 23:13, 23:10, 16:24)"
,,19.12.2021,Мельбурн - НЗ Брейкерс,83:60,"(21:14, 13:17, 18:12, 31:17)"
,,19.12.2021,Брисбен - Иллавара,96:92,"(30:20, 24:25, 21:22, 21:25)"
,,19.12.2021,Перт - Тасмания Джекджамперс,101:83,"(21:15, 28:23, 25:21, 27:24)"
,,22.12.2021,Сидней - Тасмания Джекджамперс,83:71,"(17:20, 22:28, 15:15, 29:8)"
,,26.12.2021,Тасмания Джекджамперс - НЗ Брейкерс,84:75,"(25:16, 25:23, 19:17, 15:19)"
,,26.12.2021,Сидней - Мельбурн,68:82,"(26:24, 14:20, 19:22, 9:16)"
,,31.12.2021,Кеарнс - Перт,78:84,"(25:11, 22:33, 19:24, 12:16)"
,,01.01.2022,Тасмания Джекджамперс - Мельбурн,72:76,"(27:22, 16:22, 22:19, 7:13)"
,,09.01.2022,Брисбен - НЗ Брейкерс,83:88,"(13:26, 23:19, 23:21, 24:22)"
,,13.01.2022,Иллавара - Сидней,97:89,"(28:22, 21:26, 26:30, 22:11)"
,,14.01.2022,НЗ Брейкерс - Мельбурн,78:89,"(22:21, 17:17, 21:27, 18:24)"
,,15.01.2022,Брисбен - Мельбурн Феникс,100:84,"(31:6, 26:23, 22:24, 21:31)"
,,16.01.2022,Иллавара - Мельбурн,84:88,"(20:22, 22:25, 26:23, 16:18)"
,,16.01.2022,Сидней - НЗ Брейкерс,75:82,"(24:17, 10:13, 23:22, 18:30)"
,,18.01.2022,Аделаида - Перт,87:74,"(29:13, 26:21, 12:24, 20:16)"
,,21.01.2022,Брисбен - Сидней,96:87,"(15:31, 20:13, 30:28, 31:15)"
,,22.01.2022,Аделаида - Мельбурн,78:97,"(24:26, 20:25, 20:21, 14:25)"
,,22.01.2022,Иллавара - Перт,78:94,"(23:13, 18:23, 16:30, 21:28)"
,,23.01.2022,Сидней - Брисбен,97:73,"(28:18, 25:14, 25:18, 19:23)"
,,23.01.2022,Тасмания Джекджамперс - Мельбурн Феникс,63:76,"(24:23, 14:12, 15:32, 10:9)"
,,24.01.2022,Иллавара - Аделаида,100:89,"(23:19, 27:26, 31:14, 19:30)"
,,25.01.2022,Мельбурн Феникс - Кеарнс,87:77,"(19:19, 30:18, 15:19, 23:21)"
,,26.01.2022,Брисбен - Мельбурн,82:84,"(28:17, 12:24, 24:18, 18:25)"
,,27.01.2022,Иллавара - Перт,80:94,"(22:21, 22:25, 21:29, 15:19)"
,,28.01.2022,Тасмания Джекджамперс - Аделаида,76:71,"(15:24, 26:23, 11:12, 24:12)"
,,29.01.2022,Кеарнс - Иллавара,75:94,"(20:23, 20:20, 19:25, 16:26)"
,,29.01.2022,Брисбен - Мельбурн Феникс,73:88,"(26:29, 13:21, 28:21, 6:17)"
,,30.01.2022,Аделаида - Мельбурн,88:83 OT,"(17:19, 21:11, 21:21, 15:23, 14:9)"
,,30.01.2022,Сидней - Перт,96:81,"(30:21, 25:17, 17:21, 24:22)"
,,30.01.2022,НЗ Брейкерс - Тасмания Джекджамперс,59:83,"(13:23, 14:30, 20:14, 12:16)"
,,02.02.2022,НЗ Брейкерс - Иллавара,90:67,"(26:20, 26:13, 18:24, 20:10)"
,,04.02.2022,Тасмания Джекджамперс - Сидней,77:70,"(15:24, 29:14, 14:16, 19:16)"
,,05.02.2022,Брисбен - Кеарнс,94:102,"(25:30, 28:23, 18:20, 23:29)"
,,05.02.2022,Мельбурн Феникс - Перт,79:101,"(27:15, 11:33, 18:23, 23:30)"
,,06.02.2022,Сидней - НЗ Брейкерс,84:65,"(25:16, 26:19, 9:16, 24:14)"
,,06.02.2022,Мельбурн - Тасмания Джекджамперс,85:94,"(23:36, 22:21, 21:16, 19:21)"
,,07.02.2022,Иллавара - Мельбурн Феникс,87:88,"(18:28, 20:19, 25:19, 24:22)"
,,10.02.2022,Мельбурн Феникс - Сидней,87:92,"(22:29, 17:14, 23:21, 25:28)"
,,11.02.2022,Брисбен - Аделаида,77:73,"(21:25, 15:13, 21:23, 20:12)"
,,12.02.2022,Иллавара - Кеарнс,87:81,"(29:28, 23:21, 17:14, 18:18)"
,,12.02.2022,Мельбурн - Перт,93:87,"(16:29, 37:19, 26:13, 14:26)"
,,13.02.2022,Мельбурн Феникс - Тасмания Джекджамперс,83:71,"(16:14, 22:26, 21:12, 24:19)"
,,13.02.2022,Сидней - Брисбен,71:69,"(17:20, 22:15, 15:22, 17:12)"
,,14.02.2022,Кеарнс - НЗ Брейкерс,83:84,"(12:30, 23:25, 32:14, 16:15)"
,,17.02.2022,Мельбурн - Мельбурн Феникс,94:87,"(30:17, 11:25, 23:26, 30:19)"
,,18.02.2022,Иллавара - Кеарнс,79:54,"(17:21, 24:16, 16:9, 22:8)"
,,19.02.2022,Мельбурн Феникс - Брисбен,98:94,"(30:23, 20:24, 27:24, 21:23)"
,,19.02.2022,Сидней - Перт,98:95,"(31:24, 14:27, 29:16, 24:28)"
,,20.02.2022,Аделаида - Кеарнс,82:71,"(9:23, 25:11, 20:13, 28:24)"
,,20.02.2022,Мельбурн - НЗ Брейкерс,108:73,"(30:20, 30:13, 24:11, 24:29)"
,,20.02.2022,Иллавара - Тасмания Джекджамперс,86:96,"(22:20, 21:26, 20:27, 23:23)"
,,24.02.2022,Кеарнс - Брисбен,73:69,"(32:19, 19:22, 9:12, 13:16)"
,,25.02.2022,Иллавара - Аделаида,87:71,"(26:20, 24:17, 12:20, 25:14)"
,,26.02.2022,Брисбен - Тасмания Джекджамперс,94:86,"(24:22, 29:22, 16:17, 25:25)"
,,26.02.2022,Мельбурн Феникс - Перт,86:80,"(21:15, 24:16, 18:26, 23:23)"
,,27.02.2022,Аделаида - Сидней,90:93,"(25:23, 22:22, 24:24, 19:24)"
,,27.02.2022,Кеарнс - Мельбурн,73:89,"(13:23, 22:25, 22:13, 16:28)"
,,28.02.2022,Тасмания Джекджамперс - Перт,78:89,"(22:16, 17:28, 12:20, 27:25)"
,,01.03.2022,НЗ Брейкерс - Иллавара,87:102,"(22:20, 25:29, 20:30, 20:23)"
,,04.03.2022,Аделаида - Мельбурн Феникс,76:83,"(25:26, 17:24, 12:15, 22:18)"
,,05.03.2022,Тасмания Джекджамперс - НЗ Брейкерс,66:62,"(23:19, 15:20, 12:14, 16:9)"
,,05.03.2022,Мельбурн - Брисбен,95:83,"(20:20, 16:17, 26:18, 33:28)"
,,06.03.2022,Аделаида - Перт,73:92,"(20:27, 14:23, 26:26, 13:16)"
